<javax.crypto.Cipher: Cipher(javax.crypto.CipherSpi,java.security.Provider,java.lang.String)> _SINK_
<javax.crypto.Cipher: Cipher(javax.crypto.CipherSpi,java.lang.String)> _SINK_
<javax.crypto.Cipher: Cipher(javax.crypto.CipherSpi,java.security.Provider.Service,java.util.Iterator,java.lang.String,java.util.List)> _SINK_
<javax.crypto.Cipher: int doFinal(byte[],int,int,byte[],int)> _SOURCE_
<javax.crypto.Cipher: int doFinal(java.nio.ByteBuffer,java.nio.ByteBuffer)> _SINK_
<javax.crypto.Cipher: int doFinal(java.nio.ByteBuffer,java.nio.ByteBuffer)> _SOURCE_
<javax.crypto.Cipher: byte[] wrap(java.security.Key)> _SINK_
<javax.crypto.Cipher: byte[] wrap(java.security.Key)> _SOURCE_
<javax.crypto.Cipher: java.security.Key unwrap(byte[],java.lang.String,int)> _SINK_
<javax.crypto.Cipher: java.security.Key unwrap(byte[],java.lang.String,int)> _SOURCE_
<javax.crypto.Cipher: java.security.spec.AlgorithmParameterSpec getAlgorithmParameterSpec(java.security.AlgorithmParameters)> _SINK_
<javax.crypto.Cipher: java.security.spec.AlgorithmParameterSpec getAlgorithmParameterSpec(java.security.AlgorithmParameters)> _SOURCE_
<javax.crypto.Cipher: javax.crypto.CryptoPermission getConfiguredPermission(java.lang.String)> _SINK_
<javax.crypto.Cipher: javax.crypto.CryptoPermission getConfiguredPermission(java.lang.String)> _SOURCE_
<javax.crypto.Cipher: int getMaxAllowedKeyLength(java.lang.String)> _SINK_
<javax.crypto.Cipher: int getMaxAllowedKeyLength(java.lang.String)> _SOURCE_
<javax.crypto.Cipher: java.security.spec.AlgorithmParameterSpec getMaxAllowedParameterSpec(java.lang.String)> _SINK_
<javax.crypto.Cipher: java.security.spec.AlgorithmParameterSpec getMaxAllowedParameterSpec(java.lang.String)> _SOURCE_
<javax.crypto.Cipher: void updateAAD(byte[])> _SINK_
<javax.crypto.Cipher: void updateAAD(byte[],int,int)> _SINK_
<javax.crypto.Cipher: void updateAAD(java.nio.ByteBuffer)> _SINK_
<javax.crypto.KeyGenerator: KeyGenerator(javax.crypto.KeyGeneratorSpi,java.security.Provider,java.lang.String)> _SINK_
<javax.crypto.KeyGenerator: KeyGenerator(java.lang.String)> _SINK_
<javax.crypto.KeyGenerator: java.lang.String getAlgorithm()> _SOURCE_
<javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)> _SINK_
<javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)> _SOURCE_
<javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String,java.lang.String)> _SINK_
<javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String,java.lang.String)> _SOURCE_
<javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String,java.security.Provider)> _SINK_
<javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String,java.security.Provider)> _SOURCE_
<javax.crypto.KeyGenerator: java.security.Provider getProvider()> _SOURCE_
<javax.crypto.KeyGenerator: javax.crypto.KeyGeneratorSpi nextSpi(javax.crypto.KeyGeneratorSpi,boolean)> _SINK_
<javax.crypto.KeyGenerator: javax.crypto.KeyGeneratorSpi nextSpi(javax.crypto.KeyGeneratorSpi,boolean)> _SOURCE_
<javax.crypto.KeyGenerator: void init(java.security.SecureRandom)> _SINK_
<javax.crypto.KeyGenerator: void init(java.security.spec.AlgorithmParameterSpec)> _SINK_
<javax.crypto.KeyGenerator: void init(java.security.spec.AlgorithmParameterSpec,java.security.SecureRandom)> _SINK_
<javax.crypto.KeyGenerator: void init(int)> _SINK_
<javax.crypto.KeyGenerator: void init(int,java.security.SecureRandom)> _SINK_
<javax.crypto.KeyGenerator: javax.crypto.SecretKey generateKey()> _SOURCE_
<javax.crypto.ExemptionMechanismException: ExemptionMechanismException(java.lang.String)> _SINK_
<javax.crypto.Mac: Mac(javax.crypto.MacSpi,java.security.Provider,java.lang.String)> _SINK_
<javax.crypto.Mac: Mac(java.security.Provider.Service,java.util.Iterator,java.lang.String)> _SINK_
<javax.crypto.Mac: java.lang.String getAlgorithm()> _SOURCE_
<javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)> _SINK_
<javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)> _SOURCE_
<javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String,java.lang.String)> _SINK_
<javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String,java.lang.String)> _SOURCE_
<javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String,java.security.Provider)> _SINK_
<javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String,java.security.Provider)> _SOURCE_
<javax.crypto.Mac: void chooseProvider(java.security.Key,java.security.spec.AlgorithmParameterSpec)> _SINK_
<javax.crypto.Mac: java.security.Provider getProvider()> _SOURCE_
<javax.crypto.Mac: int getMacLength()> _SOURCE_
<javax.crypto.Mac: void init(java.security.Key)> _SINK_
<javax.crypto.Mac: void init(java.security.Key,java.security.spec.AlgorithmParameterSpec)> _SINK_
<javax.crypto.Mac: void update(byte)> _SINK_
<javax.crypto.Mac: void update(byte[])> _SINK_
<javax.crypto.Mac: void update(byte[],int,int)> _SINK_
<javax.crypto.Mac: void update(java.nio.ByteBuffer)> _SINK_
<javax.crypto.Mac: byte[] doFinal()> _SOURCE_
<javax.crypto.Mac: void doFinal(byte[],int)> _SINK_
<javax.crypto.Mac: byte[] doFinal(byte[])> _SINK_
<javax.crypto.Mac: byte[] doFinal(byte[])> _SOURCE_
<javax.crypto.Mac: java.lang.Object clone()> _SOURCE_
<javax.crypto.MacSpi: int engineGetMacLength()> _SOURCE_
<javax.crypto.MacSpi: void engineInit(java.security.Key,java.security.spec.AlgorithmParameterSpec)> _SINK_
<javax.crypto.MacSpi: void engineUpdate(byte)> _SINK_
<javax.crypto.MacSpi: void engineUpdate(byte[],int,int)> _SINK_
<javax.crypto.MacSpi: void engineUpdate(java.nio.ByteBuffer)> _SINK_
<javax.crypto.MacSpi: byte[] engineDoFinal()> _SOURCE_
<javax.crypto.MacSpi: java.lang.Object clone()> _SOURCE_
<javax.crypto.NoSuchPaddingException: NoSuchPaddingException(java.lang.String)> _SINK_
<javax.crypto.SecretKeyFactory: SecretKeyFactory(javax.crypto.SecretKeyFactorySpi,java.security.Provider,java.lang.String)> _SINK_
<javax.crypto.SecretKeyFactory: SecretKeyFactory(java.lang.String)> _SINK_
<javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String)> _SINK_
<javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String)> _SOURCE_
<javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String,java.lang.String)> _SINK_
<javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String,java.lang.String)> _SOURCE_
<javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String,java.security.Provider)> _SINK_
<javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String,java.security.Provider)> _SOURCE_
<javax.crypto.SecretKeyFactory: java.security.Provider getProvider()> _SOURCE_
<javax.crypto.SecretKeyFactory: java.lang.String getAlgorithm()> _SOURCE_
<javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactorySpi nextSpi(javax.crypto.SecretKeyFactorySpi)> _SINK_
<javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactorySpi nextSpi(javax.crypto.SecretKeyFactorySpi)> _SOURCE_
<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)> _SINK_
<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)> _SOURCE_
<javax.crypto.SecretKeyFactory: java.security.spec.KeySpec getKeySpec(javax.crypto.SecretKey,java.lang.Class)> _SINK_
<javax.crypto.SecretKeyFactory: java.security.spec.KeySpec getKeySpec(javax.crypto.SecretKey,java.lang.Class)> _SOURCE_
<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey translateKey(javax.crypto.SecretKey)> _SINK_
<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey translateKey(javax.crypto.SecretKey)> _SOURCE_
<javax.crypto.EncryptedPrivateKeyInfo: EncryptedPrivateKeyInfo(byte[])> _SINK_
<javax.crypto.EncryptedPrivateKeyInfo: EncryptedPrivateKeyInfo(java.lang.String,byte[])> _SINK_
<javax.crypto.EncryptedPrivateKeyInfo: EncryptedPrivateKeyInfo(java.security.AlgorithmParameters,byte[])> _SINK_
<javax.crypto.EncryptedPrivateKeyInfo: java.lang.String getAlgName()> _SOURCE_
<javax.crypto.EncryptedPrivateKeyInfo: java.security.AlgorithmParameters getAlgParameters()> _SOURCE_
<javax.crypto.EncryptedPrivateKeyInfo: byte[] getEncryptedData()> _SOURCE_
<javax.crypto.EncryptedPrivateKeyInfo: java.security.spec.PKCS8EncodedKeySpec getKeySpec(javax.crypto.Cipher)> _SINK_
<javax.crypto.EncryptedPrivateKeyInfo: java.security.spec.PKCS8EncodedKeySpec getKeySpec(javax.crypto.Cipher)> _SOURCE_
<javax.crypto.EncryptedPrivateKeyInfo: java.security.spec.PKCS8EncodedKeySpec getKeySpecImpl(java.security.Key,java.security.Provider)> _SINK_
<javax.crypto.EncryptedPrivateKeyInfo: java.security.spec.PKCS8EncodedKeySpec getKeySpecImpl(java.security.Key,java.security.Provider)> _SOURCE_
<javax.crypto.EncryptedPrivateKeyInfo: java.security.spec.PKCS8EncodedKeySpec getKeySpec(java.security.Key)> _SINK_
<javax.crypto.EncryptedPrivateKeyInfo: java.security.spec.PKCS8EncodedKeySpec getKeySpec(java.security.Key)> _SOURCE_
<javax.crypto.EncryptedPrivateKeyInfo: java.security.spec.PKCS8EncodedKeySpec getKeySpec(java.security.Key,java.lang.String)> _SINK_
<javax.crypto.EncryptedPrivateKeyInfo: java.security.spec.PKCS8EncodedKeySpec getKeySpec(java.security.Key,java.lang.String)> _SOURCE_
<javax.crypto.EncryptedPrivateKeyInfo: java.security.spec.PKCS8EncodedKeySpec getKeySpec(java.security.Key,java.security.Provider)> _SINK_
<javax.crypto.EncryptedPrivateKeyInfo: java.security.spec.PKCS8EncodedKeySpec getKeySpec(java.security.Key,java.security.Provider)> _SOURCE_
<javax.crypto.EncryptedPrivateKeyInfo: byte[] getEncoded()> _SOURCE_
<javax.crypto.EncryptedPrivateKeyInfo: void checkTag(sun.security.util.DerValue,byte,java.lang.String)> _SINK_
<javax.crypto.EncryptedPrivateKeyInfo: void checkPKCS8Encoding(byte[])> _SINK_
<javax.crypto.ExemptionMechanism: ExemptionMechanism(javax.crypto.ExemptionMechanismSpi,java.security.Provider,java.lang.String)> _SINK_
<javax.crypto.ExemptionMechanism: java.lang.String getName()> _SOURCE_
<javax.crypto.ExemptionMechanism: javax.crypto.ExemptionMechanism getInstance(java.lang.String)> _SINK_
<javax.crypto.ExemptionMechanism: javax.crypto.ExemptionMechanism getInstance(java.lang.String)> _SOURCE_
<javax.crypto.ExemptionMechanism: javax.crypto.ExemptionMechanism getInstance(java.lang.String,java.lang.String)> _SINK_
<javax.crypto.ExemptionMechanism: javax.crypto.ExemptionMechanism getInstance(java.lang.String,java.lang.String)> _SOURCE_
<javax.crypto.ExemptionMechanism: javax.crypto.ExemptionMechanism getInstance(java.lang.String,java.security.Provider)> _SINK_
<javax.crypto.ExemptionMechanism: javax.crypto.ExemptionMechanism getInstance(java.lang.String,java.security.Provider)> _SOURCE_
<javax.crypto.ExemptionMechanism: java.security.Provider getProvider()> _SOURCE_
<javax.crypto.ExemptionMechanism: boolean isCryptoAllowed(java.security.Key)> _SINK_
<javax.crypto.ExemptionMechanism: boolean isCryptoAllowed(java.security.Key)> _SOURCE_
<javax.crypto.ExemptionMechanism: int getOutputSize(int)> _SINK_
<javax.crypto.ExemptionMechanism: int getOutputSize(int)> _SOURCE_
<javax.crypto.ExemptionMechanism: void init(java.security.Key)> _SINK_
<javax.crypto.ExemptionMechanism: void init(java.security.Key,java.security.spec.AlgorithmParameterSpec)> _SINK_
<javax.crypto.ExemptionMechanism: void init(java.security.Key,java.security.AlgorithmParameters)> _SINK_
<javax.crypto.ExemptionMechanism: byte[] genExemptionBlob()> _SOURCE_
<javax.crypto.ExemptionMechanism: int genExemptionBlob(byte[])> _SINK_
<javax.crypto.ExemptionMechanism: int genExemptionBlob(byte[])> _SOURCE_
<javax.crypto.ExemptionMechanism: int genExemptionBlob(byte[],int)> _SINK_
<javax.crypto.ExemptionMechanism: int genExemptionBlob(byte[],int)> _SOURCE_
<javax.crypto.CipherOutputStream: CipherOutputStream(java.io.OutputStream,javax.crypto.Cipher)> _SINK_
<javax.crypto.CipherOutputStream: CipherOutputStream(java.io.OutputStream)> _SINK_
<javax.crypto.CipherOutputStream: void write(int)> _SINK_
<javax.crypto.CipherOutputStream: void write(byte)> _SINK_
<javax.crypto.CipherOutputStream: void write(byte,int,int)> _SINK_
<javax.crypto.Implementation: Implementation(java.lang.Object,java.security.Provider)> _SINK_
<javax.crypto.Implementation: java.lang.Object getEngine()> _SOURCE_
<javax.crypto.Implementation: java.security.Provider getProvider()> _SOURCE_
<javax.crypto.JCEUtil: javax.crypto.JCEUtil.Implementation getImplementationFromProvider(java.lang.String,java.lang.String,java.security.Provider)> _SINK_
<javax.crypto.JCEUtil: javax.crypto.JCEUtil.Implementation getImplementationFromProvider(java.lang.String,java.lang.String,java.security.Provider)> _SOURCE_
<javax.crypto.JCEUtil: javax.crypto.JCEUtil.Implementation getImplementation(java.lang.String,java.lang.String,java.lang.String)> _SINK_
<javax.crypto.JCEUtil: javax.crypto.JCEUtil.Implementation getImplementation(java.lang.String,java.lang.String,java.lang.String)> _SOURCE_
<javax.crypto.JceSecurityManager: javax.crypto.CryptoPermission getCryptoPermission(java.lang.String)> _SINK_
<javax.crypto.JceSecurityManager: javax.crypto.CryptoPermission getCryptoPermission(java.lang.String)> _SOURCE_
<javax.crypto.JceSecurityManager: javax.crypto.CryptoPermissions getAppPermissions(java.net.URL)> _SINK_
<javax.crypto.JceSecurityManager: javax.crypto.CryptoPermissions getAppPermissions(java.net.URL)> _SOURCE_
<javax.crypto.JceSecurityManager: javax.crypto.CryptoPermission getDefaultPermission(java.lang.String)> _SINK_
<javax.crypto.JceSecurityManager: javax.crypto.CryptoPermission getDefaultPermission(java.lang.String)> _SOURCE_
<javax.crypto.JceSecurityManager: boolean isCallerTrusted()> _SOURCE_
<javax.crypto.ShortBufferException: ShortBufferException(java.lang.String)> _SINK_
<javax.crypto.NullCipherSpi: void engineSetMode(java.lang.String)> _SINK_
<javax.crypto.NullCipherSpi: void engineSetPadding(java.lang.String)> _SINK_
<javax.crypto.NullCipherSpi: int engineGetBlockSize()> _SOURCE_
<javax.crypto.NullCipherSpi: int engineGetOutputSize(int)> _SINK_
<javax.crypto.NullCipherSpi: int engineGetOutputSize(int)> _SOURCE_
<javax.crypto.NullCipherSpi: byte[] engineGetIV()> _SOURCE_
<javax.crypto.NullCipherSpi: java.security.AlgorithmParameters engineGetParameters()> _SOURCE_
<javax.crypto.NullCipherSpi: void engineInit(int,java.security.Key,java.security.SecureRandom)> _SINK_
<javax.crypto.NullCipherSpi: void engineInit(int,java.security.Key,java.security.spec.AlgorithmParameterSpec,java.security.SecureRandom)> _SINK_
<javax.crypto.NullCipherSpi: void engineInit(int,java.security.Key,java.security.AlgorithmParameters,java.security.SecureRandom)> _SINK_
<javax.crypto.NullCipherSpi: byte[] engineUpdate(byte[],int,int)> _SINK_
<javax.crypto.NullCipherSpi: byte[] engineUpdate(byte[],int,int)> _SOURCE_
<javax.crypto.NullCipherSpi: int engineUpdate(byte[],int,int,byte[],int)> _SINK_
<javax.crypto.NullCipherSpi: int engineUpdate(byte[],int,int,byte[],int)> _SOURCE_
<javax.crypto.NullCipherSpi: byte[] engineDoFinal(byte[],int,int)> _SINK_
<javax.crypto.NullCipherSpi: byte[] engineDoFinal(byte[],int,int)> _SOURCE_
<javax.crypto.NullCipherSpi: int engineDoFinal(byte[],int,int,byte[],int)> _SINK_
<javax.crypto.NullCipherSpi: int engineDoFinal(byte[],int,int,byte[],int)> _SOURCE_
<javax.crypto.NullCipherSpi: int engineGetKeySize(java.security.Key)> _SINK_
<javax.crypto.NullCipherSpi: int engineGetKeySize(java.security.Key)> _SOURCE_
<javax.crypto.CryptoAllPermission: boolean implies(java.security.acl.Permission)> _SINK_
<javax.crypto.CryptoAllPermission: boolean implies(java.security.acl.Permission)> _SOURCE_
<javax.crypto.CryptoAllPermission: boolean equals(java.lang.Object)> _SINK_
<javax.crypto.CryptoAllPermission: boolean equals(java.lang.Object)> _SOURCE_
<javax.crypto.CryptoAllPermission: int hashCode()> _SOURCE_
<javax.crypto.CryptoAllPermission: java.security.PermissionCollection newPermissionCollection()> _SOURCE_
<javax.crypto.CryptoAllPermissionCollection: void add(java.security.acl.Permission)> _SINK_
<javax.crypto.CryptoAllPermissionCollection: boolean implies(java.security.acl.Permission)> _SINK_
<javax.crypto.CryptoAllPermissionCollection: boolean implies(java.security.acl.Permission)> _SOURCE_
<javax.crypto.CryptoAllPermissionCollection: java.util.Enumeration elements()> _SOURCE_
<javax.crypto.ExemptionMechanismSpi: int engineGetOutputSize(int)> _SINK_
<javax.crypto.ExemptionMechanismSpi: int engineGetOutputSize(int)> _SOURCE_
<javax.crypto.ExemptionMechanismSpi: void engineInit(java.security.Key)> _SINK_
<javax.crypto.ExemptionMechanismSpi: void engineInit(java.security.Key,java.security.spec.AlgorithmParameterSpec)> _SINK_
<javax.crypto.ExemptionMechanismSpi: void engineInit(java.security.Key,java.security.AlgorithmParameters)> _SINK_
<javax.crypto.ExemptionMechanismSpi: byte[] engineGenExemptionBlob()> _SOURCE_
<javax.crypto.ExemptionMechanismSpi: int engineGenExemptionBlob(byte[],int)> _SINK_
<javax.crypto.ExemptionMechanismSpi: int engineGenExemptionBlob(byte[],int)> _SOURCE_
<javax.crypto.AEADBadTagException: AEADBadTagException(java.lang.String)> _SINK_
<javax.crypto.spec.DHGenParameterSpec: DHGenParameterSpec(int,int)> _SINK_
<javax.crypto.spec.DHGenParameterSpec: int getPrimeSize()> _SOURCE_
<javax.crypto.spec.DHGenParameterSpec: int getExponentSize()> _SOURCE_
<javax.crypto.spec.DESedeKeySpec: DESedeKeySpec(byte[])> _SINK_
<javax.crypto.spec.DESedeKeySpec: DESedeKeySpec(byte[],int)> _SINK_
<javax.crypto.spec.DESedeKeySpec: byte[] getKey()> _SOURCE_
<javax.crypto.spec.DESedeKeySpec: boolean isParityAdjusted(byte[],int)> _SINK_
<javax.crypto.spec.DESedeKeySpec: boolean isParityAdjusted(byte[],int)> _SOURCE_
<javax.crypto.spec.GCMParameterSpec: GCMParameterSpec(int,byte[])> _SINK_
<javax.crypto.spec.GCMParameterSpec: GCMParameterSpec(int,byte[],int,int)> _SINK_
<javax.crypto.spec.GCMParameterSpec: void init(int,byte[],int,int)> _SINK_
<javax.crypto.spec.GCMParameterSpec: int getTLen()> _SOURCE_
<javax.crypto.spec.GCMParameterSpec: byte[] getIV()> _SOURCE_
<javax.crypto.spec.PBEParameterSpec: PBEParameterSpec(byte[],int)> _SINK_
<javax.crypto.spec.PBEParameterSpec: byte[] getSalt()> _SOURCE_
<javax.crypto.spec.PBEParameterSpec: int getIterationCount()> _SOURCE_
<javax.crypto.spec.DHParameterSpec: DHParameterSpec(java.math.BigInteger,java.math.BigInteger)> _SINK_
<javax.crypto.spec.DHParameterSpec: DHParameterSpec(java.math.BigInteger,java.math.BigInteger,int)> _SINK_
<javax.crypto.spec.DHParameterSpec: java.math.BigInteger getP()> _SOURCE_
<javax.crypto.spec.DHParameterSpec: java.math.BigInteger getG()> _SOURCE_
<javax.crypto.spec.DHParameterSpec: int getL()> _SOURCE_
<javax.crypto.spec.PSource: PSource(java.lang.String)> _SINK_
<javax.crypto.spec.PSource: java.lang.String getAlgorithm()> _SOURCE_
<javax.crypto.spec.PSpecified: PSpecified(byte[])> _SINK_
<javax.crypto.spec.PSpecified: byte[] getValue()> _SOURCE_
<javax.crypto.spec.IvParameterSpec: IvParameterSpec(byte[])> _SINK_
<javax.crypto.spec.IvParameterSpec: IvParameterSpec(byte[],int,int)> _SINK_
<javax.crypto.spec.IvParameterSpec: byte[] getIV()> _SOURCE_
<javax.crypto.spec.DHPrivateKeySpec: DHPrivateKeySpec(java.math.BigInteger,java.math.BigInteger,java.math.BigInteger)> _SINK_
<javax.crypto.spec.DHPrivateKeySpec: java.math.BigInteger getX()> _SOURCE_
<javax.crypto.spec.DHPrivateKeySpec: java.math.BigInteger getP()> _SOURCE_
<javax.crypto.spec.DHPrivateKeySpec: java.math.BigInteger getG()> _SOURCE_
<javax.crypto.spec.DESKeySpec: DESKeySpec(byte[])> _SINK_
<javax.crypto.spec.DESKeySpec: DESKeySpec(byte[],int)> _SINK_
<javax.crypto.spec.DESKeySpec: byte[] getKey()> _SOURCE_
<javax.crypto.spec.DESKeySpec: boolean isParityAdjusted(byte[],int)> _SINK_
<javax.crypto.spec.DESKeySpec: boolean isParityAdjusted(byte[],int)> _SOURCE_
<javax.crypto.spec.DESKeySpec: boolean isWeak(byte[],int)> _SINK_
